session,judge,candidate_chosen,candidate_not_chosen
2,38,Mexican Coke,Pepsi Real Sugar
2,38,RC,Pepsi
2,39,Sams,Coca Cola
2,39,Mexican Coke,Sams
2,39,Sams,RC
2,39,Pepsi,RC
2,39,RC,Pepsi Real Sugar
2,40,Pepsi,Sams
2,40,Sams,Pepsi Real Sugar
2,40,Mexican Coke,Pepsi Real Sugar
2,40,Sams,Mexican Coke
2,40,Coca Cola,RC
2,41,Sams,Coca Cola
2,41,Mexican Coke,Coca Cola
2,41,RC,Mexican Coke
2,41,Coca Cola,RC
2,41,RC,Pepsi Real Sugar
2,42,Mexican Coke,Pepsi
2,42,Pepsi Real Sugar,Mexican Coke
2,42,RC,Pepsi
2,42,Sams,RC
2,42,Mexican Coke,RC
2,43,Sams,Pepsi Real Sugar
2,43,Sams,Pepsi
2,43,Sams,Mexican Coke
2,43,Sams,RC
2,43,RC,Mexican Coke
2,44,Pepsi,Sams
2,44,Mexican Coke,Sams
2,44,RC,Pepsi Real Sugar
2,44,Sams,RC
2,44,Mexican Coke,RC
2,45,Pepsi,Mexican Coke
2,45,Sams,Mexican Coke
2,45,Mexican Coke,RC
2,45,Coca Cola,RC
2,45,Sams,RC
2,46,Pepsi,Mexican Coke
2,46,RC,Mexican Coke
2,46,Pepsi,RC
2,46,Pepsi Real Sugar,RC
2,46,RC,Sams
2,47,Pepsi,Pepsi Real Sugar
2,47,Sams,Pepsi Real Sugar
2,47,Pepsi Real Sugar,Mexican Coke
2,47,Sams,Coca Cola
2,47,Pepsi Real Sugar,RC
2,48,Sams,RC
2,48,Coca Cola,Mexican Coke
2,48,Mexican Coke,Pepsi Real Sugar
2,48,RC,Pepsi
2,48,Pepsi Real Sugar,RC
2,49,Pepsi,Mexican Coke
2,49,Pepsi Real Sugar,Mexican Coke
2,49,Sams,Mexican Coke
2,49,Sams,RC
2,49,RC,Mexican Coke
2,50,Sams,Pepsi
2,50,Pepsi,Mexican Coke
2,50,Sams,Mexican Coke
2,50,RC,Sams
2,50,RC,Mexican Coke
2,51,Pepsi Real Sugar,Pepsi
2,51,Sams,Pepsi Real Sugar
2,51,Mexican Coke,Pepsi
2,51,RC,Pepsi Real Sugar
2,51,RC,Mexican Coke
2,52,Pepsi Real Sugar,RC
2,52,Sams,RC
2,52,Mexican Coke,Pepsi Real Sugar
2,52,Mexican Coke,Sams
2,52,Mexican Coke,RC
2,53,Sams,Pepsi Real Sugar
2,53,Pepsi Real Sugar,Mexican Coke
2,53,Coca Cola,Sams
2,53,Sams,Pepsi
2,53,Pepsi Real Sugar,RC
2,54,Sams,Mexican Coke
2,54,Sams,RC
2,54,Coca Cola,Mexican Coke
2,54,RC,Mexican Coke
2,54,RC,Coca Cola
2,55,Sams,Mexican Coke
2,55,RC,Sams
2,55,Mexican Coke,Coca Cola
