judge,candidate_chosen,candidate_not_chosen,time_taken
fGNbMkneyek8tyCG9,6gZgcNytec65SZGN7,dgovLjAkHKactw8Te,11.373
fJC3QTuTKQCjPdtg7,yoQr5KJnZboZZXt3K,zoyLcsyuhL33JMGaA,106.08
crjQ3f6BsbXqwkqcK,yoQr5KJnZboZZXt3K,KuHzmmptLeDhhsWPx,6.588
crjQ3f6BsbXqwkqcK,S2jRQuwxfrevH7NTy,cvP4FRNexvEeDmSwW,4.847
crjQ3f6BsbXqwkqcK,dgovLjAkHKactw8Te,T5obF7dxiMLKmjcJJ,163.505
fGNbMkneyek8tyCG9,6gZgcNytec65SZGN7,T5obF7dxiMLKmjcJJ,19.374
aWSbAXGNHgzZsBTnz,6gZgcNytec65SZGN7,FCwSmYgHBoASKQyD4,73.774
fGNbMkneyek8tyCG9,6gZgcNytec65SZGN7,fxspS2SEz3Bv3LgYY,6.278
crjQ3f6BsbXqwkqcK,MFcor3aTKnq29A2W6,T5obF7dxiMLKmjcJJ,6.039
qH3PsB5bTfazu6C69,ea5tYyskbe2hJxyBg,ACEGpME2RJvXyuynF,13.772
